guid,name,link,auth,parent,organization
1,Organization,,No,,
2,Safety,,No,,
3,Central Services,,No,,
4,Site Operations,,No,,
5,Policies and Procedures,,No,,
6,Badges and Site Visitors,,No,,
7,Professional Development and Training,,No,,
8,Computing,,No,,
9,Internal Databases,,No,,
10,Benefits,,No,,
11,Holidays and Vacation,,No,,
12,Life @ SLAC,,No,,
13,Directorates,,No,Organization,
14,SLAC Organization Chart,http://www6.slac.stanford.edu/about/organization.aspx,No,Organization,
15,Stanford University,http://www.stanford.edu/,No,Organization,
16,Director's Office,http://www-group.slac.stanford.edu/do/,No,Directorates,
17,Human Resources,https://www-internal.slac.stanford.edu/humanresources/,No,Director's Office,Yes
18,Office of Communications,http://www-group.slac.stanford.edu/com/,No,Director's Office,Yes
19,Office of the Chief Financial Officer,http://www-group.slac.stanford.edu/ocfo/,No,Director's Office,Yes
20,University Counsel for SLAC,http://www-group.slac.stanford.edu/legal/,No,Director's Office,Yes
21,Subcouncils,http://www-group.slac.stanford.edu/operations/Subcouncils.asp,No,Director's Office,Yes
22,Accelerator Directorate for Staff (SLAC Portal Site),https://slacportal.slac.stanford.edu/sites/ad_public/Pages/Default.aspx,No,Directorates,
23,Accelerator Operation & Safety,https://slacspace.slac.stanford.edu/sites/aosd/Pages/Default.aspx,Yes,Accelerator Directorate for Staff (SLAC Portal Site),Yes
24,Accelerator Research,https://slacportal.slac.stanford.edu/sites/ard_public/Pages/Default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes
25,AD Business Office,https://slacspace.slac.stanford.edu/sites/adbus/Pages/Default.aspx,Yes,Accelerator Directorate for Staff (SLAC Portal Site),Yes
26,FACET,https://slacportal.slac.stanford.edu/sites/ard_public/facet/Pages/default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes
27,Instrumentation & Controls,https://slacspace.slac.stanford.edu/sites/controls/Pages/default.aspx,Yes,Accelerator Directorate for Staff (SLAC Portal Site),Yes
28,LCLS II Project,https://slacspace.slac.stanford.edu/sites/lcls/lcls_ii/Pages/default.aspx,Yes,Accelerator Directorate for Staff (SLAC Portal Site),Yes
29,LCLS Accelerator Systems,https://slacportal.slac.stanford.edu/sites/lclscore_public/Pages/Default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes
30,Mechanical Engineering & Technical Support,https://slacportal.slac.stanford.edu/sites/ad_public/metsd/Pages/default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes
31,CAD Applications,http://mdweb.slac.stanford.edu/CAD%20Support.php,No,Mechanical Engineering & Technical Support,Yes
32,Design Services,http://mdweb.slac.stanford.edu/,No,Mechanical Engineering & Technical Support,Yes
33,Mechanical Engineering,https://slacportal.slac.stanford.edu/sites/me_public/Pages/Default.aspx,No,Mechanical Engineering & Technical Support,Yes
34,Mechanical Fabrication Department,http://www-group.slac.stanford.edu/mfd/,No,Mechanical Engineering & Technical Support,
35,Metrology at SLAC,http://www-group.slac.stanford.edu/met/,No,Mechanical Engineering & Technical Support,
36,Technical Planning,https://slacspace.slac.stanford.edu/sites/ad/work_planning_control/Pages/default.aspx,Yes,Mechanical Engineering & Technical Support,
37,RF Accelerator Research & engineering,https://slacportal.slac.stanford.edu/sites/ad_public/rfared/Pages/default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes
38,S0-20 Accelerator Division,https://slacspace.slac.stanford.edu/sites/s0-20facetcore/Pages/Default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes
39,SPEAR3 Accelerator Division,https://slacportal.slac.stanford.edu/sites/spear3core_public/Pages/Default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes
40,Projects,https://slacspace.slac.stanford.edu/sites/lcls/strategic_projects/Pages/default.aspx,Yes,Directorates,
41,Injector Test Facilities,https://slacspace.slac.stanford.edu/sites/ad/itf/Pages/default.aspx,Yes,Projects,
42,LCLS-II,https://slacspace.slac.stanford.edu/sites/lcls/lcls_ii/Pages/default.aspx,Yes,Projects,
43,LCLS/LUSI Construction Project,https://slacspace.slac.stanford.edu/sites/LCLS%20Document%20Storage/default.aspx,Yes,Projects,
44,MECi Project,https://slacspace.slac.stanford.edu/sites/lcls/strategic_projects/MECi/Pages/default.aspx,Yes,Projects,
45,LCLS Directorate,http://lcls.slac.stanford.edu,No,Directorates,
46,Organization,http://www-ssrl.slac.stanford.edu/lcls/users/committees-contacts.html,No,LCLS Directorate,Yes
47,Recent News,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/NewsListings.aspx,No,LCLS Directorate,Yes
48,Machine Status,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/status.aspx,No,LCLS Directorate,Yes
49,Schedules,http://www-ssrl.slac.stanford.edu/lcls/users/schedules.html,No,LCLS Directorate,Yes
50,Instruments,https://slacportal.slac.stanford.edu/sites/lcls_public/instruments/Pages/default.aspx,No,LCLS Directorate,Yes
51,Publications,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/Publications.aspx,No,LCLS Directorate,Yes
52,LCLS Home,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/Default.aspx,No,LCLS Directorate,Yes
53,Infrastructure and Safety,https://www-internal.slac.stanford.edu/infrastructure-and-safety/,No,Directorates,
54,"Computing Division, Office of the Chief Information Officer",http://www-group.slac.stanford.edu/scs/,No,Infrastructure and Safety,Yes
55,Computing Help Desk,https://www-internal.slac.stanford.edu/comp/ITDS/,No,"Computing Division, Office of the Chief Information Officer",Yes
56,"Environment, Safety, Health and Quality",http://www-group.slac.stanford.edu/esh/,No,Infrastructure and Safety,Yes
57,Facilities,http://www-group.slac.stanford.edu/fac/,No,Infrastructure and Safety,Yes
58,Major Capital Projects,https://slacspace.slac.stanford.edu/sites/lcls/strategic_projects/capital_projects_collab/Pages/default.aspx,Yes,Infrastructure and Safety,Yes
59,Project Management Office,https://slacspace.slac.stanford.edu/sites/ipm/pmo/default.aspx,Yes,Infrastructure and Safety,Yes
60,Particle Physics & Astrophysics Directorate,http://www-group.slac.stanford.edu/ppa/,No,Directorates,
61,KIPAC,http://www-group.slac.stanford.edu/kipac/,No,Particle Physics & Astrophysics Directorate,Yes
62,Elementary Particle Physics Research,http://home.slac.stanford.edu/ppap.html,No,Particle Physics & Astrophysics Directorate,Yes
63,Scientific Computing Applications,http://www-group.slac.stanford.edu/ppa-sca/,No,Particle Physics & Astrophysics Directorate,Yes
64,Photon Science Directorate,http://home.slac.stanford.edu/photonscience.html,No,Directorates,
65,PULSE,http://pulse.slac.stanford.edu/,No,Photon Science Directorate,Yes
66,SIMES,http://simes.slac.stanford.edu,No,Photon Science Directorate,Yes
67,SUNCAT,http://suncat.slac.stanford.edu,No,Photon Science Directorate,Yes
68,Photon Science Seminar Series,http://www-ssrl.slac.stanford.edu/content/events/photon-science-seminar-series,No,Photon Science Directorate,Yes
69,SSRL Directorate,http://www-ssrl.slac.stanford.edu/,No,Directorates,
70,Organization,http://www-ssrl.slac.stanford.edu/content/sites/default/files/documents/ssrl-organizational-chart_0.pdf,No,SSRL Directorate,Yes
71,Machine Status,http://www-ssrl.slac.stanford.edu/talk_display.html,No,SSRL Directorate,Yes
72,Beamline Map,http://www-ssrl.slac.stanford.edu/userresources/beamlines/beamlines.html,No,SSRL Directorate,Yes
73,News & Events,http://www-ssrl.slac.stanford.edu/content/ssrl-news/ssrl-news-events,No,SSRL Directorate,Yes
74,Newsletter,http://www-ssrl.slac.stanford.edu/newsletters/headlines/headlines.html,No,SSRL Directorate,Yes
75,Science Highlights,http://www-ssrl.slac.stanford.edu/content/science/highlight/archive,No,SSRL Directorate,Yes
76,"Environmental, Safety & Health Home",http://www-group.slac.stanford.edu/esh/,No,Safety,
77,Safety First Documents,http://www-group.slac.stanford.edu/esh/divisional/safetyfirst/,No,"Environmental, Safety & Health Home",
78,ES&H Manual,http://www-group.slac.stanford.edu/esh/eshmanual/,No,"Environmental, Safety & Health Home",
79,ES&H Training Home,http://www-group.slac.stanford.edu/esh/training/,No,"Environmental, Safety & Health Home",
80,SLAC Training Assessment (STA),http://www-group.slac.stanford.edu/esh/training/sta/,No,"Environmental, Safety & Health Home",
81,List of Building Managers,https://oraweb2.slac.stanford.edu/apex/oradb1/f?p=111:1,No,"Environmental, Safety & Health Home",
82,Security,http://www-group.slac.stanford.edu/esh/security/,Yes,"Environmental, Safety & Health Home",
83,Affirmative Action Office,http://www-group.slac.stanford.edu/aao/,No,Central Services,
84,Archives and History,http://www.slac.stanford.edu/history/,No,Central Services,
85,Budget Office,http://www-group.slac.stanford.edu/bu/,No,Central Services,
86,Business Information Services,https://www-bis1.slac.stanford.edu/,Yes,Central Services,
87,Electronic Time sheets,https://www-internal.slac.stanford.edu/ocfo/iat/,Yes,Central Services,
88,Facilities Service Request,https://famis.slac.stanford.edu/famis_fss/fweb.home,Yes,Central Services,
89,Communications,http://www-group.slac.stanford.edu/com/,No,Central Services,
90,Computing,http://www2.slac.stanford.edu/computing/default.htm,No,Central Services,
91,Computing Help Desk,https://www-internal.slac.stanford.edu/comp/ITDS/,No,Computing,
92,eShipper,https://www-bis1.slac.stanford.edu/eShipper/,No,Central Services,
93,Outlook Exchange Web Mail,https://email.slac.stanford.edu,No,Central Services,
94,Engineering Document Control,http://mdweb.slac.stanford.edu/Doc%20Control.php,No,Central Services,
95,Housing Office,https://www-internal.slac.stanford.edu/humanresources/housing/,No,Central Services,
96,Human Resources,https://www-internal.slac.stanford.edu/humanresources/,No,Central Services,
97,Diversity Office,http://www-group.slac.stanford.edu/aao/,No,Human Resources,
