name,link,auth,category,subtype
SPIRES-HEP Literature Database,http://inspirehep.net,No,Publications,Other Document Resources
Stanford Libraries,http://www-sul.stanford.edu/,No,Publications,Other Document Resources
Online Particle Physics Information,http://www.slac.stanford.edu/library/pdg/hepinfo.html,No,Online Resources,Organizations and Offices
Library: Book Catalog,http://www.slac.stanford.edu/library/catalog/catalog.html,No,Online Resources,Organizations and Offices
Library: Book Purchasing,http://www.slac.stanford.edu/library/services/order.html,No,Online Resources,Organizations and Offices
American Astronomical Society,http://www.aas.org/,No,Online Resources,Organizations and Offices
American Physical Society,http://www.aps.org/,No,Online Resources,Organizations and Offices
National Radio Astronomy Observatory,http://www.nrao.edu/,No,Online Resources,Organizations and Offices
The National Academies,http://www.nationalacademies.org/,No,Online Resources,Organizations and Offices
National Aeronautics and Space Administration,http://www.nasa.gov/home/index.html?skipIntro=1,No,Online Resources,Organizations and Offices
National Science Foundation,http://www.nsf.gov/,No,Online Resources,Organizations and Offices
Office of High Energy Physics (HEP),http://science.energy.gov/hep/,No,Online Resources,Organizations and Offices
Office of Science,http://science.energy.gov,No,Online Resources,Organizations and Offices
Office of Science Basic Energy Sciences,http://science.energy.gov/bes/,No,Online Resources,Organizations and Offices
Office of Science High Energy Physics,http://science.energy.gov/hep/,No,Online Resources,Organizations and Offices
Other Phone Directories,http://www.slac.stanford.edu/comp/telecom/phone-dir/phone-dir.html,No,Online Resources,Organizations and Offices
SLACspeak Glossary,http://www.slac.stanford.edu/FIND/slacspeak/,No,Online Resources,Organizations and Offices
SPIRES HEP Preprints Database,http://inspirehep.net,No,Online Resources,Organizations and Offices
Science and Engineering,http://www-sul.stanford.edu/catdb/sci.html,No,Online Resources,Database and Articles
arXiv,http://arxiv.org/,No,Online Resources,Database and Articles
Astrophysics Data System Abstract Service,http://adswww.harvard.edu/ads_abstracts.html,No,Online Resources,Database and Articles
Atomic Spectra Database,http://physics.nist.gov/PhysRefData/ASD1/choice.html?nist_atomic_spectra.html,No,Online Resources,Database and Articles
Encyclopedia of Astronomy and Astrophysics,http://eaa.iop.org/index.cfm?action=home,No,Online Resources,Database and Articles
INSPEC,http://search.lanl.gov/ssplus/jsp/AdvancedSearch.jsp?collection=ins,No,Online Resources,Database and Articles
Accelerator Seminar,http://today.slac.stanford.edu/event-archive.asp,No,Scientific Seminar Series,
ACKS Seminar,http://today.slac.stanford.edu/event-archive.asp,No,Scientific Seminar Series,
Berkeley and Stanford Synchrotron Radiation Summer School (Physical Sciences),http://www-ssrl.slac.stanford.edu/sbsummerschool/,No,Scientific Seminar Series,
Experimental Seminar,http://www.slac.stanford.edu/exp/seminar/,No,Scientific Seminar Series,
KIPAC Seminar,http://www-group.slac.stanford.edu/kipac/events.html,No,Scientific Seminar Series,
Photon Science Seminar Series,http://www-ssrl.slac.stanford.edu/content/events/photon-science-seminar-series,No,Scientific Seminar Series,
SLAC Colloquium,http://www2.slac.stanford.edu/colloquium/,No,Scientific Seminar Series,
SLAC Seminar Calendar,https://www.slac.stanford.edu/cgi-bin/meetingmaker/2512/webevent.cgi,No,Scientific Seminar Series,
SLAC Summer Institute (SSI),http://www-conf.slac.stanford.edu/ssi/,No,Scientific Seminar Series,
SSRL Seminar,http://www-ssrl.slac.stanford.edu/content/events/ssrl-presents-series,No,Scientific Seminar Series,
Stanford: Conferences and Symposia Calendar,http://events.stanford.edu/byCategory/3/,No,Scientific Seminar Series,
Stanford School of Earth Sciences,http://esdb.stanford.edu/esevents/FMPro?-db=ES+Calendar&amp;-lay=Web&amp;-format=week.html&amp;week=Current&amp;-token=All&amp;-find,No,Scientific Seminar Series,
Structural Molecular Biology (SMB) Summer School,http://smb.slac.stanford.edu/public/news/summer_school/,No,Scientific Seminar Series,
Theory Seminar,https://www.slac.stanford.edu/cgi-bin/meetingmaker/2512/webevent.cgi?cmd=opencal&amp;cal=cal6,No,Scientific Seminar Series,
LCLS,http://lcls.slac.stanford.edu/,No,Find a program,Photon Science Programs
LUSI,http://www-ssrl.slac.stanford.edu/lcls/lusi/,No,Find a program,Photon Science Programs
PULSE,http://www.stanford.edu/group/pulse_institute/,No,Find a program,Photon Science Programs
SIMES,http://simes.slac.stanford.edu,No,Find a program,Photon Science Programs
SSRL,http://www-ssrl.slac.stanford.edu/,No,Find a program,Photon Science Programs
SUNCAT,http://suncat.slac.stanford.edu,No,Find a program,Photon Science Programs
Accelerator Research A,http://www.slac.stanford.edu/grp/ara/,No,Find a program,Particle Physics and Astrophysics Programs: Accelerators
Accelerator Research B,http://www.slac.stanford.edu/grp/arb/,No,Find a program,Particle Physics and Astrophysics Programs: Accelerators
FACET,http://facet.slac.stanford.edu,No,Find a program,Particle Physics and Astrophysics Programs: Accelerators
ILC,http://www-project.slac.stanford.edu/ilc/,No,Find a program,Particle Physics and Astrophysics Programs: Accelerators
Laser Acceleration (E163),http://www-project.slac.stanford.edu/e163/,No,Find a program,Particle Physics and Astrophysics Programs: Accelerators
Accelerator Systems Division,https://www-internal.slac.stanford.edu/ad/ad.html,Yes,Find a program,Particle Physics and Astrophysics Programs: Accelerators
ORION,http://www-project.slac.stanford.edu/orion/,No,Find a program,Particle Physics and Astrophysics Programs: Accelerators
Plasma Wakefield (E157/E162/E164),http://www.slac.stanford.edu/grp/arb/e164/,No,Find a program,Particle Physics and Astrophysics Programs: Accelerators
Polarized Positron Source Studies (E166),http://www.slac.stanford.edu/exp/e166/,No,Find a program,Particle Physics and Astrophysics Programs: Accelerators
